Epoch,Training Loss,Validation Loss,Learning Rate
148,0.8221,0.8807,4.322727117869979e-05
149,0.8218,0.8812,9.549150281252665e-05
150,0.8215,0.8819,0.0001654346968205714
1,0.821,0.8825,0.0002500000000000014
2,0.8204,0.8833,0.00034549150281252785
3,0.8205,0.8844,0.00044773576836617596
4,0.822,0.889,0.0005522642316338296
5,0.8245,0.8875,0.0006545084971874769
6,0.8269,0.8901,0.0007500000000000042
7,0.829,0.8976,0.0008345653031794334
8,0.8305,0.8962,0.0009045084971874781
9,0.8304,0.9006,0.0009567727288213055
10,0.829,0.8974,0.000989073800366908
11,0.8292,0.895,0.0010000000000000052
12,0.8285,0.8955,0.0009890738003669082
13,0.8272,0.8941,0.0009567727288213059
14,0.8252,0.887,0.0009045084971874787
15,0.8247,0.8873,0.0008345653031794339
16,0.8237,0.8877,0.0007500000000000046
17,0.8228,0.8856,0.0006545084971874773
18,0.8217,0.8871,0.0005522642316338302
19,0.8196,0.8891,0.0004477357683661756
20,0.8181,0.8848,0.0003454915028125284
21,0.8176,0.8818,0.0002500000000000018
22,0.817,0.8798,0.00016543469682057173
23,0.8161,0.8799,9.549150281252694e-05
24,0.8154,0.8766,4.322727117870001e-05
25,0.8149,0.8752,1.092619963309721e-05
26,0.8147,0.8747,0.0
27,0.8144,0.8746,1.0926199633097156e-05
28,0.8143,0.8746,4.322727117869962e-05
29,0.8141,0.8746,9.549150281252707e-05
30,0.8138,0.8754,0.00016543469682057276
31,0.8134,0.876,0.00025000000000000174
32,0.8129,0.8765,0.0003454915028125294
33,0.8126,0.8775,0.0004477357683661763
34,0.8129,0.8791,0.0005522642316338332
35,0.815,0.8824,0.0006545084971874801
36,0.8186,0.8847,0.000750000000000008
37,0.8209,0.8848,0.0008345653031794371
38,0.8206,0.8863,0.0009045084971874829
39,0.8218,0.8853,0.0009567727288213098
40,0.8235,0.8861,0.0009890738003669132
41,0.8252,0.8857,0.0010000000000000102
42,0.8209,0.8824,0.000989073800366913
43,0.8185,0.8826,0.0009567727288213106
44,0.8176,0.881,0.0009045084971874832
45,0.817,0.8837,0.0008345653031794374
46,0.8167,0.8846,0.000750000000000007
47,0.8152,0.8796,0.0006545084971874808
48,0.8139,0.8803,0.000552264231633834
49,0.8127,0.8796,0.00044773576836617884
50,0.812,0.8794,0.00034549150281253024
51,0.8119,0.8795,0.00025000000000000244
52,0.8111,0.8779,0.00016543469682057339
53,0.8102,0.8759,9.549150281252755e-05
54,0.8098,0.8742,4.322727117870068e-05
55,0.8096,0.8729,1.0926199633097158e-05
56,0.8094,0.8729,0.0
57,0.8091,0.8728,1.0926199633097156e-05
58,0.8091,0.8728,4.3227271178698906e-05
59,0.8089,0.8726,9.549150281252558e-05
60,0.8086,0.8734,0.00016543469682056886
61,0.8082,0.8741,0.00024999999999999946
62,0.8078,0.8744,0.00034549150281252416
63,0.8075,0.8752,0.00044773576836617125
64,0.8076,0.8758,0.000552264231633823
65,0.8093,0.8789,0.0006545084971874702
66,0.8125,0.8783,0.0007499999999999965
67,0.8147,0.8803,0.0008345653031794257
68,0.8153,0.8812,0.0009045084971874694
69,0.8153,0.8793,0.0009567727288212961
70,0.8152,0.8782,0.000989073800366898
71,0.8157,0.8902,0.0009999999999999955
72,0.8159,0.8792,0.0009890738003668984
73,0.8154,0.88,0.0009567727288212965
74,0.8153,0.8784,0.00090450849718747
75,0.8127,0.8756,0.0008345653031794267
76,0.8116,0.8777,0.0007499999999999975
77,0.8105,0.8791,0.0006545084971874712
78,0.8098,0.8772,0.0005522642316338242
79,0.8084,0.8776,0.00044773576836617233
80,0.8074,0.8755,0.00034549150281252525
81,0.8069,0.8749,0.00025000000000000033
82,0.8066,0.875,0.00016543469682056965
83,0.8062,0.8749,9.549150281252615e-05
84,0.8059,0.8733,4.3227271178699306e-05
