Epoch,Training Loss,Validation Loss,Learning Rate
98.0,0.3743,0.3762,0.0008345653031794371
99.0,0.3754,0.3789,0.0009045084971874829
100.0,0.3773,0.3811,0.0009567727288213098
101.0,0.3795,0.3815,0.0009890738003669132
102.0,0.381,0.3803,0.0010000000000000102
103.0,0.3801,0.3821,0.000989073800366913
104.0,0.3787,0.379,0.0009567727288213106
105.0,0.3783,0.3802,0.0009045084971874832
106.0,0.3778,0.3794,0.0008345653031794374
107.0,0.3774,0.3792,0.000750000000000007
108.0,0.377,0.3787,0.0006545084971874808
109.0,0.376,0.3767,0.000552264231633834
110.0,0.3751,0.3762,0.00044773576836617884
111.0,0.3744,0.3759,0.00034549150281253024
112.0,0.3741,0.3754,0.00025000000000000244
113.0,0.3741,0.3746,0.00016543469682057339
114.0,0.3738,0.374,9.549150281252755e-05
115.0,0.3731,0.3738,4.322727117870068e-05
116.0,0.3725,0.3734,1.0926199633097158e-05
117.0,0.3723,0.3732,0.0
118.0,0.3721,0.3731,1.0926199633097156e-05
119.0,0.3722,0.3731,4.3227271178698906e-05
120.0,0.3723,0.3734,9.549150281252558e-05
121.0,0.3724,0.3734,0.00016543469682056886
122.0,0.3724,0.3732,0.00024999999999999946
123.0,0.3724,0.3733,0.00034549150281252416
124.0,0.3721,0.3734,0.00044773576836617125
125.0,0.3718,0.3733,0.000552264231633823
126.0,0.3716,0.3734,0.0006545084971874702
127.0,0.3715,0.3734,0.0007499999999999965
128.0,0.3717,0.3739,0.0008345653031794257
129.0,0.3728,0.3753,0.0009045084971874694
130.0,0.3744,0.3769,0.0009567727288212961
131.0,0.3761,0.38,0.000989073800366898
132.0,0.3782,0.3792,0.0009999999999999955
133.0,0.3773,0.3789,0.0009890738003668984
134.0,0.3772,0.3801,0.0009567727288212965
135.0,0.3784,0.38,0.00090450849718747
136.0,0.3785,0.3828,0.0008345653031794267
137.0,0.3764,0.3763,0.0007499999999999975
138.0,0.3749,0.3765,0.0006545084971874712
139.0,0.374,0.3758,0.0005522642316338242
140.0,0.373,0.3735,0.00044773576836617233
141.0,0.3721,0.3734,0.00034549150281252525
142.0,0.372,0.3733,0.00025000000000000033
143.0,0.3721,0.3732,0.00016543469682056965
144.0,0.3718,0.3723,9.549150281252615e-05
145.0,0.371,0.3725,4.3227271178699306e-05
146.0,0.3708,0.3719,1.0926199633097381e-05
147.0,0.3704,0.3715,0.0
148.0,0.3703,0.3715,1.0926199633097156e-05
149.0,0.3703,0.3715,4.322727117869957e-05
150.0,0.3704,0.3718,9.549150281252545e-05
