,subj,label,hr_mean,hr_std,hr_slope,hr_skewness,hr_kurtosis,eda_mean,eda_std,eda_slope,eda_skewness,eda_kurtosis,hrv_mean,hrv_std,hrv_slope,hrv_skewness,hrv_kurtosis,temp_mean,temp_std,temp_slope,temp_skewness,temp_kurtosis
184,11,2,0.7280119341798648,0.22780324350218742,0.4778105079125745,-0.29983858386019085,-0.42897181828183895,-0.3614753852129246,-0.5431336903727868,-0.15155377547334953,-0.8735114207220289,-0.3205122481002026,-0.7728153437760487,-0.5992937046508533,-0.043133209487088243,-0.24540476851773854,-0.2049120980175136,-0.7023600501046532,-0.4431864756588818,-0.01223293906278746,0.19822936809214134,0.7213176522217642
185,11,2,0.7855837542192242,0.48118528778595665,0.511160369247775,-1.2197167740540649,1.0973200163390482,-0.31576026568247917,-0.4226373270993145,-0.12286140726214637,-1.1121252041723657,-0.2912748139590724,-0.8069646501528223,-0.5517296862894812,-0.037341388860494734,0.13991810812131286,-0.12971794926868627,-0.6996840067047781,-0.4417103229432676,0.0022014913881330503,1.7072431796294885,1.9862367146743811
186,11,2,0.3607692036966746,0.5287120668382804,0.62977741204192,-0.37679238050041464,-0.37922907710551806,-0.19721398034340673,-0.24727101363460113,-0.28380044403543214,-0.7937378214435273,-0.24467363269308656,-0.5475311839279117,-0.4135619470480243,-0.1808673538753494,-0.14974972405300735,-0.18961928457295518,-0.6947130959716982,0.08065624983899544,-0.42187956941913685,-2.0808127461620205,0.9407140482416095
187,11,2,0.4972151688893337,0.4747651743640654,0.6164590494743837,-0.12260653130345896,-0.5028954952144699,-0.3237008105585158,-0.423506972298941,-0.11990242045489163,0.0617604728489909,-0.2784064412190179,-0.6343408462778827,-0.46247611597818844,-0.14853729052628853,-0.2631661832303763,-0.20540404651127758,-0.6954424918772254,-0.38317371962592583,0.006909872389735622,-2.717012860659282,2.5803400454636396
188,11,2,0.6502402814457148,0.17842044210031094,0.46628495733785974,0.10056959770943376,-0.5232252589850829,-0.2814048822991654,-0.49376216621034036,-0.16386130908792096,-0.3455966295143225,-0.3385495935022193,-0.7273942894595311,-0.5829419870712481,-0.060610325937212176,-0.36058824570860054,-0.20822336707113148,-0.697116909447394,-0.4973922585250725,0.007583647356848675,-0.04942605095500422,-0.2753985611076047
189,11,2,0.6349977601462047,0.10019361946908718,0.4268625248064613,0.15105146718625675,-0.5518763752228857,-0.3299732371138187,-0.27274021834715056,-0.04477740626008678,-0.12746979489514024,-0.31595465415872154,-0.7196377487798158,-0.6142239053975237,-0.046537079718208606,-0.4152729674142033,-0.21508562551155344,-0.6944682208161519,-0.33616238947759036,-0.21944951790371467,1.102592019296694,-0.6588152911102231
190,11,3,1.4836722390793424,1.0892918437667034,0.7614561604012723,-1.1092619534658728,-0.10104507512731137,0.5397880790614444,0.11554342006003197,-0.5036533468409446,0.03014469605783504,-0.22119345787601938,-1.1353080199558578,-0.28314315389465816,0.010241904569624982,3.419669978582317,3.1249877460802202,-0.7034456972164551,-0.40524004432619815,-0.19562771303107795,0.19456286082893814,0.20306280622696787
191,12,0,-1.547740892889401,-0.3874010221783152,-0.9719575989064021,0.6025177500360691,-0.7136639992405134,-0.6577776233657927,-0.6225695016565296,-0.2183137623515571,-0.2113575331438413,-0.3497621079652826,2.0866206401988423,2.7847254756414412,1.901679719018313,-0.2057519538715776,-0.20334295418412482,-0.7136215083416771,-0.4875432180200254,-0.04970827045888909,-0.13307068525382196,0.04862306000182076
192,12,0,-1.509640656537195,0.21290452727418624,-1.262578412956053,0.6166709003075683,-0.4966892802329006,-0.651356519446696,-0.6406484612561043,-0.20233842592220463,-0.7072739699296079,-0.3584895481037539,1.9620492394551854,2.009114945557231,2.1269153638312437,-0.15874465504219862,-0.17431195805955552,-0.7157594475481921,-0.3154956242690813,0.09678390254440028,0.36287567111511293,-0.6316761220991638
193,12,0,-1.5901454213872777,-0.004093864371167858,-1.111489125486201,0.7436033260412691,-0.5320072813271605,-0.6227810667616691,-0.5987860167938794,-0.2282922770907938,-0.7402595463289897,-0.3370734041645789,2.210242644402446,1.961713714188078,2.3392922675264347,-0.4426803143226055,-0.20732730881943856,-0.7122187205396334,-0.3439737116097253,-0.195763480511364,0.9506414607645193,-0.4706685309243247
194,12,0,-1.388898793816064,-0.2396586988909223,-0.8750987922228559,0.3074948154471994,0.11346578746020355,-0.6608385945968089,-0.6417535470100998,-0.2092845268988752,-0.6390382551668894,-0.28128040945007265,1.660567423663234,0.9111479493743853,1.0978211026052758,-0.09638364268453903,-0.17900434561249057,-0.720083239037101,-0.2595014503485556,-0.07049429496080617,0.6826470761202207,-0.3172661624136409
195,12,0,-1.4347524557943152,0.09111638937394928,-1.179455871382362,0.645464097326832,-0.9456908989634666,-0.6451525670045586,-0.6297267935762265,-0.21221587197036665,-0.14801737806433587,-0.31900652248081324,1.743010926396057,1.6236559487935336,1.768028529224783,-0.305516397246057,-0.1789515414982111,-0.711965853419146,-0.472054780898817,-0.012050312003011418,-1.4168940160417718,1.8353830184002509
196,12,0,-1.5576545354797549,-0.11661042428091864,-0.9280972101636658,1.3308526174124935,-0.25139447205678733,-0.6404864949335959,-0.625373235131283,-0.21623825889892687,-0.6083764333265755,-0.3332459471789078,2.098328607392452,2.2362889103611834,1.1732435097526839,-0.24310828348496738,-0.18866195859539314,-0.7108078797437294,-0.09463878827512796,-0.312221425192377,2.0485830669035128,0.8146186611615092
197,12,0,-1.5616142539341435,0.2896465988961191,-0.09406947520039503,1.0209554606064266,-0.5216401396859311,-0.6417913900027219,-0.6297690869019141,-0.214261474980167,-0.3293496533552309,-0.3206141492552724,2.0307050148991013,2.783587641623943,-0.1664085687246018,-0.062412399163995144,-0.17007787609911637,-0.7113963497868075,0.1636570736691721,-0.4548718669884024,0.510586589575055,-1.244476511826563
198,12,0,-1.581661474951035,-0.10074082276432429,-1.0821299563518663,0.6881781313349546,-0.6166369331443224,-0.641454794088265,-0.62115172351829,-0.21854607705160475,-0.14151084783245,-0.3405410739203917,2.1803239461452266,2.3916066026534994,2.3659682261595116,-0.22822659169894863,-0.1753099811929999,-0.7139423352728703,-0.2676622986469655,-0.23611070611906493,0.9294106554999623,-0.5114439701723889
